key	sci	en	de	fr	nl	el	es	it	sv	hr	sr	bs	bg	tr	sq	breadth	importance	dangerous	already_in
agaricus_arvensis	Agaricus arvensis	Horse mushroom	Schafchampignon	Agaric des jachères	Gewone anijschampignon	Αγαρικό των αγρών			Snöbollschampinjon		Beli šampinjoni	Reduša				narrow	5	no	AM,BA,BE,CY,DK,FI,FR,GB,GR,IS,KG,KR,LU,NL,NO,PT,RO,RS,SE,TJ,TM
agaricus_arvensis__2	Agaricus arvensis												Печурка			mid	5	no	BG
agaricus_augustus	Agaricus augustus	The prince							Kungschampinjon					Şehzade mantarı		narrow	3	no	TR
agaricus_bisporus	Agaricus bisporus	Button mushroom												Kültür mantarı		narrow	5	no	KR,TJ
agaricus_bitorquis	Agaricus bitorquis				Straatchampignon									Doğal tarla mantarı		narrow	3	no	CY,EE,NL,TJ,TM,UZ
agaricus_campestris	Agaricus campestris	Yellow stainers	Champignon				Hongo de tierra									broad	5	yes	AM,AT,AZ,BY,EE,GE,HU,KG,KZ,LT,LV,MD,MX,NZ,PL,RU,SI,SK,TJ,UA,UZ
agaricus_campestris__2	Agaricus campestris	Field mushroom	Wiesenchampignon	Rosé-des-prés	Gewone weidechampignon	Αγαρικό το πεδινό	Champiñón silvestre	Prataiolo		Poljska pečurka		Poljska pečurka		İçi kızıl	Kërpudha e livadhit	narrow	5	no	AL,AT,AU,BA,BE,CH,CY,CZ,DE,DK,ES,FR,GB,GR,HR,IS,IT,LU,NL,NO,PT,RO,TM,TR
agaricus_macrosporus	Agaricus macrosporus										Kračun					narrow	5	no	RS,TM
agaricus_silvicola	Agaricus silvicola			Agaric anisé des bois			Champiñón de monte									narrow	3	no	MX
agaricus_subrufescens	Agaricus subrufescens	Field mushrooms														broad	5	no	NZ
agaricus_sylvaticus	Agaricus sylvaticus		Kleiner Waldchampignon									Šumarica				narrow	4	no	BA,EE,GE,KG,RO,TJ
agaricus_xanthoderma	Agaricus xanthoderma															narrow	5	yes	CZ
agaricus_xanthodermus	Agaricus xanthodermus	Yellow stainer	Karbolchampignon	Agaric jaunissant	Karbolchampignon	Αγαρικό το ξανθόδερμο	Agárico amarilleante	Falsi prataioli	Giftchampinjon	Otrovna pečurka	Otrovni šampinjon	Otrovna pečurka	Карболова печурка			narrow	5	yes	AL,AM,AT,AU,AZ,BA,BE,BG,CH,CY,DE,DK,ES,FR,GB,GR,HR,HU,IT,KG,KZ,LU,MD,NL,NO,PL,PT,RO,RS,SI,SK,TJ,TM,UA,UZ
albatrellus_ovinus	Albatrellus ovinus	Sheep polypore	Schafporling	Polypore des brebis				Fungo del pane	Fårticka	Ovčje vime						narrow	4	no	CA,CH,EE,FI,HR,LV,NO,SE,SI
