key	sci	ru	en	tr	ka	breadth	importance	dangerous	already_in
agaricus_arvensis	Agaricus arvensis		Horse mushroom			narrow	5	no	FI,FR,GB,KR,RO,RS,SE
agaricus_arvensis__2	Agaricus arvensis					mid	5	no	BG
agaricus_augustus	Agaricus augustus		The prince	Şehzade mantarı		narrow	3	no	TR
agaricus_bisporus	Agaricus bisporus		Button mushroom	Kültür mantarı		narrow	5	no	KR
agaricus_bitorquis	Agaricus bitorquis	Шампиньон двукольцовый		Doğal tarla mantarı		narrow	3	no	EE
agaricus_campestris	Agaricus campestris	Шампиньон	Yellow stainers		ქამა	broad	5	yes	AT,BY,EE,GE,HU,LT,LV,MD,MX,NZ,PL,RU,SI,SK,UA
agaricus_campestris__2	Agaricus campestris		Field mushroom	İçi kızıl		narrow	5	no	AT,AU,CZ,DE,ES,FR,GB,HR,IT,RO,TR
agaricus_macrosporus	Agaricus macrosporus					narrow	5	no	RS
agaricus_silvicola	Agaricus silvicola					narrow	3	no	MX
agaricus_subrufescens	Agaricus subrufescens		Field mushrooms			broad	5	no	NZ
agaricus_sylvaticus	Agaricus sylvaticus	Шампиньон перелесковый			ტყის ქამა	narrow	4	no	EE,GE,RO
agaricus_xanthoderma	Agaricus xanthoderma					narrow	5	yes	CZ
agaricus_xanthodermus	Agaricus xanthodermus	Шампиньон желтокожий	Yellow stainer			narrow	5	yes	AT,AU,BG,DE,ES,FR,GB,HR,HU,IT,MD,PL,RO,RS,SI,SK,UA
albatrellus_ovinus	Albatrellus ovinus	Альбатреллус овечий	Sheep polypore			narrow	4	no	CA,EE,FI,HR,LV,SE,SI
amanita_amerivirosa	Amanita amerivirosa		Destroying angel			mid	5	yes	CA
amanita_arocheae	Amanita arocheae					narrow	4	yes	MX
amanita_australis	Amanita australis		Far south Amanita			narrow	4	yes	NZ
amanita_austroviridis	Amanita austroviridis		Green-gilled Amanita			mid	4	no	AU
amanita_basii	Amanita basii					mid	5	no	MX
amanita_bisporigera	Amanita bisporigera	Мухоморы	Destroying angel			broad	5	yes	EE,MX,US
amanita_caesarea	Amanita caesarea	Цезарский гриб		Duvaklıca	ნიყვი	narrow	5	no	BG,ES,FR,GE,HR,IT,MD,RO,RS,TR
amanita_caesareoides	Amanita caesareoides					narrow	4	no	JP
amanita_chrysoblema	Amanita chrysoblema		Fly agaric			mid	5	yes	US
amanita_citrina	Amanita citrina	Мухомор поганковидный			ბილწა სოკო	narrow	4	yes	GE,HU,LT,MD,PL
amanita_fulva	Amanita fulva		Tawny grisette			narrow	3	no	MX
amanita_gemmata	Amanita gemmata					narrow	3	yes	SK
amanita_hemibapha	Amanita hemibapha					narrow	4	no	KR
amanita_muscaria	Amanita muscaria	Мухомор красный	Fly agaric	Sinek mantarı	ცადამაყვანა	narrow	5	yes	AT,AU,BG,BY,CA,CZ,DE,EE,ES,FI,FR,GB,GE,HR,HU,IT,JP,LT,LV,MD,MX,NZ,PL,RO,RS,RU,SE,SI,SK,TR,UA
amanita_novinupta	Amanita novinupta					mid	4	no	MX
amanita_ovoidea	Amanita ovoidea					narrow	4	yes	IT
