key;latin;russian;region;base_proposed;habitat;season;set_A;set_B;set_C;set_D;review
boletus_edulis;Boletus edulis;Белый гриб;base;да;pine taiga smallleaf broadleaf;summer autumn;base;base;base;base;
lactarius_pubescens;Lactarius pubescens;Белянка;base;;smallleaf;summer autumn;smallleaf;deciduous;summer autumn;smallleaf;
amanita_phalloides;Amanita phalloides;Бледная поганка;base;да;broadleaf smallleaf;summer autumn;base;base;base;base;
russula_foetens;Russula foetens;Валуй;base;да;smallleaf broadleaf taiga;summer autumn;base;base;base;base;
lactarius_torminosus;Lactarius torminosus;Волнушка;base;да;smallleaf;summer autumn;base;base;base;base;
pleurotus_ostreatus;Pleurotus ostreatus;Вёшенка;base;;wood;autumn late;wood;wood;autumn late;wood;
galerina_marginata;Galerina marginata;Галерина окаймлённая;base;;wood;summer autumn late;wood;wood;summer autumn late;wood;
lactarius_trivialis;Lactarius trivialis;Гладыш;base;да;taiga smallleaf;summer autumn;base;base;base;base;
lactarius_rufus;Lactarius rufus;Горькушка;base;да;pine taiga;summer autumn;base;base;base;base;
lactarius_scrobiculatus;Lactarius scrobiculatus;Груздь жёлтый;base;;taiga;summer autumn;taiga;conifer;summer autumn;taiga;
lactarius_resimus;Lactarius resimus;Груздь настоящий;base;да;smallleaf;summer autumn;base;base;base;base;
lycoperdon_perlatum;Lycoperdon sp.;Дождевик;base;да;pine taiga smallleaf broadleaf open;summer autumn;base;base;base;base;строка уровня рода/семейства
suillellus_luridus;Suillellus luridus;Дубовик;nw center south;;broadleaf;summer autumn;broadleaf;deciduous;summer autumn;broadleaf;
hydnum_repandum;Hydnum repandum;Ежовик жёлтый;base;;taiga broadleaf;summer autumn;taiga broadleaf;conifer deciduous;summer autumn;taiga broadleaf;
tylopilus_felleus;Tylopilus felleus;Желчный гриб;base;да;pine taiga;summer autumn;base;base;base;base;
tricholoma_equestre;Tricholoma equestre;Зеленушка;base;;pine;autumn late;pine;conifer;autumn late;pine;
macrolepiota_procera;Macrolepiota procera;Зонтик пёстрый;base;да;open broadleaf pine;summer autumn;base;base;base;base;
suillus_bovinus;Suillus bovinus;Козляк;base;;pine;summer autumn;pine;conifer;summer autumn;pine;
cortinarius_caperatus;Cortinarius caperatus;Колпак кольчатый;base;;taiga pine;summer autumn;taiga pine;conifer;summer autumn;taiga pine;
cantharellus_cibarius;Cantharellus cibarius;Лисичка;base;да;pine taiga smallleaf broadleaf;summer autumn;base;base;base;base;
craterellus_tubaeformis;Craterellus tubaeformis;Лисичка трубчатая;base;;taiga;autumn late;taiga;conifer;autumn late;taiga;
hygrophoropsis_aurantiaca;Hygrophoropsis aurantiaca;Ложная лисичка;base;да;pine;summer autumn;base;base;base;base;
hypholoma_lateritium;Hypholoma lateritium;Ложноопёнок кирпично-красный;base;;wood;autumn late;wood;wood;autumn late;wood;
hypholoma_fasciculare;Hypholoma fasciculare;Ложноопёнок серно-жёлтый;base;да;wood;summer autumn late;base;base;base;base;
suillus_luteus__2;Suillus sp.;Маслёнок;base;да;pine taiga;summer autumn;base;base;base;base;строка уровня рода/семейства
