key;latin;russian;in_base_54;common_in_ru;breadth;importance;countries_listed;region;note
boletus_edulis;Boletus edulis;Белый гриб;да;да;mid;5.0;AL AM AT AZ BA BE BG BY CA CH CZ DE DK EE ES FI FR GB GE GR HR HU IE IS IT KG KZ LT LU LV MD ME MK MX NL NO NZ PL PT RO RS RU SE SI SK TR UA US;base;[Л] общие сводки и определители, отдельно не перепроверялось
lactarius_pubescens;Lactarius pubescens;Белянка;да;;narrow;3.0;KZ RU;base;"[Л] общие сводки и определители, отдельно не перепроверялось; спутник берёзы; ДВ не подтверждён, порог 4 из 6 набран без него"
amanita_phalloides;Amanita phalloides;Бледная поганка;да;;narrow;5.0;AL AM AT AU AZ BA BE BG BY CA CH CY CZ DE DK EE ES FI FR GB GE GR HR HU IE IT KG KR KZ LT LU LV MD ME MK NL NO NZ PL PT RO RS RU SE SI SK TJ TR UA US UZ;base;"[П] Федоренко, 2023, Turczaninowia: находки в Пензенской, Саратовской, Самарской обл., Чувашии, Татарстане; СЗ, юг, Урал [Л]; в Сибири и на ДВ находки единичны или сомнительны"
russula_foetens;Russula foetens;Валуй;да;да;narrow;4.0;BY EE GE MD RU;base;[Л] общие сводки и определители, отдельно не перепроверялось
lactarius_torminosus;Lactarius torminosus;Волнушка;да;да;narrow;4.0;AZ BY CY FI GE IS IT KG KZ LT LV PL RS RU SI UA;base;[Л] общие сводки и определители, отдельно не перепроверялось
pleurotus_ostreatus;Pleurotus ostreatus;Вёшенка;да;;narrow;5.0;AL AM AT AZ BA BE BG BY CA CH CY CZ DE DK ES FR GB GE GR HR HU IE IT JP KG KR KZ LT LU LV MD ME MK NL NO PL PT RO RS RU SE SI SK TJ TM TR UA US UZ;base;[Л] общие сводки и определители, отдельно не перепроверялось
galerina_marginata;Galerina marginata;Галерина окаймлённая;да;;narrow;5.0;AL AM AT AZ BA BE BG BY CA CH CY CZ DE DK ES FI FR GB GR HU IE IS KZ LT LU LV MD ME MK NL NO PL PT RO RS RU SE SI SK TJ UA US UZ;base;"[Л] + Ховпачев и др., 2022, Токсикол. вестник 30(2), сводка БИН РАН по регионам (картосхема); видовой комплекс, широко распространён"
lactarius_trivialis;Lactarius trivialis;Гладыш;да;да;narrow;5.0;BY FI LV NO RU;base;"[Л] общие сводки и определители, отдельно не перепроверялось; бореальный вид; ДВ не подтверждён, порог набран без него"
lactarius_rufus;Lactarius rufus;Горькушка;да;да;narrow;5.0;BY EE FI LV RU SE;base;[Л] общие сводки и определители, отдельно не перепроверялось
lactarius_scrobiculatus;Lactarius scrobiculatus;Груздь жёлтый;да;;narrow;3.0;GE KZ LV RU;base;[Л] общие сводки и определители, отдельно не перепроверялось
lactarius_resimus;Lactarius resimus;Груздь настоящий;да;да;mid;5.0;BY KZ RU UA;base;"[Л] общие сводки и определители, отдельно не перепроверялось; особенно обычен в Поволжье, на Урале и в Сибири"
lycoperdon_perlatum;Lycoperdon sp.;Дождевик;да;;broad;4.0;AL AM AZ BA BY CA CY GB HR IE IS KG KZ LV NL RU TJ TM UZ;base;"род/семейство Lycoperdon: представлен во всех шести регионах [Л]; оценка по латыни из файла, см. отчёт о расхождении ключа"
suillellus_luridus;Suillellus luridus;Дубовик;да;;narrow;4.0;AM AT AZ BY CZ DE EE GE LT LV PT RO RU SE SK UA;nw center south;"[Л] СЗ (в т.ч. Ленинградская обл.), центр, Кавказ; Урал, Сибирь, ДВ не подтверждены — если подтвердятся два из трёх, вид уходит в base"
hydnum_repandum;Hydnum repandum;Ежовик жёлтый;да;;mid;5.0;AL AM AT AZ BA BE BG BY CA CH CZ DE DK EE ES FI FR GB GR HR HU IE IS IT LU MD ME MK NL NO PL PT RO RS RU SE SI SK TR UA;base;[Л] общие сводки и определители, отдельно не перепроверялось
tylopilus_felleus;Tylopilus felleus;Желчный гриб;да;;narrow;5.0;AM AT BE BG BY CH CY CZ DE DK EE FI HU IT KG KZ LT LV MD NO PL RU SI SK UA;base;[Л] общие сводки и определители, отдельно не перепроверялось
tricholoma_equestre;Tricholoma equestre;Зеленушка;да;;narrow;4.0;BG BY CA CY DE DK EE ES KZ LT LV NO PL PT RU UA;base;[Л] общие сводки и определители, отдельно не перепроверялось
macrolepiota_procera;Macrolepiota procera;Зонтик пёстрый;да;;narrow;5.0;AL AM AT AZ BA BE BG BY CH CY CZ DE DK EE ES FI FR GB GE GR HR HU IE IT KG KR KZ LT LU LV MD ME MK MX NL NO PL PT RO RS RU SE SI SK TJ TM TR UA US UZ;base;[Л] общие сводки и определители, отдельно не перепроверялось
suillus_bovinus;Suillus bovinus;Козляк;да;да;narrow;4.0;BY DK IS JP LT NL PL PT RU;base;"[Л] общие сводки и определители, отдельно не перепроверялось; в пределах ареала сосны обыкновенной; юг только в посадках"
